paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"0,8996","0,90421","2,07177","2,09143",2002-01-02 09:59:00.0,Abertura
"0,8989","0,9035","2,07196","2,0889",2002-01-02 10:00:00.0,Intermediário
"0,9002","0,90481","2,07495","2,08739",2002-01-02 10:30:00.0,Intermediário
"0,90169","0,90631","2,08021","2,09357",2002-01-02 11:00:00.0,Intermediário
"0,90289","0,90751","2,08207","2,09454",2002-01-02 11:30:00.0,Intermediário
"0,90439","0,90901","2,08552","2,098",2002-01-02 12:00:00.0,Intermediário
"0,90269","0,90731","2,0789","2,09135",2002-01-02 12:30:00.0,Intermediário
"0,90219","0,90681","2,07955","2,09201",2002-01-02 13:00:00.0,Intermediário
"0,90209","0,90671","2,07932","2,09178",2002-01-02 13:30:00.0,Intermediário
"0,90219","0,90681","2,07955","2,09201",2002-01-02 14:00:00.0,Intermediário
"0,90099","0,90561","2,07679","2,08924",2002-01-02 14:30:00.0,Intermediário
"0,90149","0,90611","2,07974","2,09221",2002-01-02 15:00:00.0,Intermediário
"0,9005","0,90511","2,08014","2,09351",2002-01-02 15:30:00.0,Intermediário
"0,90229","0,90691","2,07708","2,09043",2002-01-02 16:00:00.0,Intermediário
"0,90179","0,90641","2,07412","2,08746",2002-01-02 16:30:00.0,Fechamento Interbancário
"0,90355","0,90545","2,0834","2,08852",2002-01-02 18:05:00.0,Fechamento
"0,90329","0,90791","2,05498","2,07458",2002-01-03 09:34:00.0,Abertura
"0,90159","0,90621","2,06555","2,07794",2002-01-03 10:00:00.0,Intermediário
"0,90219","0,90681","2,07143","2,08385",2002-01-03 10:30:00.0,Intermediário
"0,90169","0,90631","2,06939","2,08179",2002-01-03 11:00:00.0,Intermediário
"0,90149","0,90611","2,06802","2,08043",2002-01-03 11:30:00.0,Intermediário
"0,90169","0,90631","2,06668","2,07907",2002-01-03 12:00:00.0,Intermediário
"0,9006","0,90521","2,06326","2,07473",2002-01-03 12:30:00.0,Intermediário
"0,8984","0,903","2,05284","2,06517",2002-01-03 13:00:00.0,Intermediário
"0,8979","0,9025","2,0517","2,06402",2002-01-03 13:30:00.0,Intermediário
"0,8981","0,9027","2,05216","2,06448",2002-01-03 14:00:00.0,Intermediário
"0,8975","0,9021","2,05079","2,06311",2002-01-03 14:30:00.0,Intermediário
"0,8973","0,9019","2,05213","2,06445",2002-01-03 15:00:00.0,Intermediário
"0,8965","0,9011","2,05299","2,06532",2002-01-03 15:30:00.0,Intermediário
"0,8966","0,9012","2,05591","2,06825",2002-01-03 16:00:00.0,Intermediário
"0,8968","0,9014","2,05547","2,06781",2002-01-03 16:30:00.0,Fechamento Interbancário
"0,89875","0,90065","2,06029","2,06537",2002-01-03 17:38:00.0,Fechamento
"0,89441","0,89899","2,05267","2,07218",2002-01-04 09:38:00.0,Abertura
"0,89361","0,89819","2,05351","2,06674",2002-01-04 10:00:00.0,Intermediário
"0,89421","0,89879","2,05847","2,07082",2002-01-04 10:30:00.0,Intermediário
"0,89431","0,89889","2,05959","2,07195",2002-01-04 11:00:00.0,Intermediário
"0,89351","0,89809","2,06669","2,07909",2002-01-04 11:30:00.0,Intermediário
"0,89431","0,89889","2,06227","2,07465",2002-01-04 12:00:00.0,Intermediário
"0,89551","0,9001","2,06683","2,07922",2002-01-04 12:30:00.0,Intermediário
"0,89461","0,8992","2,06833","2,08164",2002-01-04 13:00:00.0,Intermediário
"0,89371","0,89829","2,06626","2,07865",2002-01-04 13:30:00.0,Intermediário
"0,89271","0,89729","2,06395","2,07633",2002-01-04 14:00:00.0,Intermediário
"0,89331","0,89789","2,06533","2,07772",2002-01-04 14:30:00.0,Intermediário
"0,89311","0,89769","2,06398","2,07636",2002-01-04 15:00:00.0,Intermediário
"0,89321","0,89779","2,07046","2,08288",2002-01-04 15:30:00.0,Intermediário
"0,89371","0,89829","2,08324","2,09482",2002-01-04 16:00:00.0,Intermediário
