paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"1,4477","1,4545","3,33405","3,36426",2002-01-02 09:59:00.0,Abertura
"1,4477","1,4545","3,33695","3,3628",2002-01-02 10:00:00.0,Intermediário
"1,4455","1,4523","3,33188","3,35046",2002-01-02 10:30:00.0,Intermediário
"1,44321","1,44999","3,32949","3,34948",2002-01-02 11:00:00.0,Intermediário
"1,44341","1,45019","3,3285","3,34704",2002-01-02 11:30:00.0,Intermediário
"1,44061","1,44739","3,32205","3,34058",2002-01-02 12:00:00.0,Intermediário
"1,44061","1,44739","3,31772","3,33623",2002-01-02 12:30:00.0,Intermediário
"1,44151","1,44829","3,32268","3,34121",2002-01-02 13:00:00.0,Intermediário
"1,44221","1,44899","3,32429","3,34282",2002-01-02 13:30:00.0,Intermediário
"1,44311","1,44989","3,32637","3,3449",2002-01-02 14:00:00.0,Intermediário
"1,44281","1,44959","3,32568","3,3442",2002-01-02 14:30:00.0,Intermediário
"1,44211","1,44889","3,32695","3,34549",2002-01-02 15:00:00.0,Intermediário
"1,44151","1,44829","3,32989","3,34989",2002-01-02 15:30:00.0,Intermediário
"1,44231","1,44909","3,3202","3,34015",2002-01-02 16:00:00.0,Intermediário
"1,44221","1,44899","3,31708","3,33702",2002-01-02 16:30:00.0,Fechamento Interbancário
"1,44418","1,44662","3,32999","3,33677",2002-01-02 18:05:00.0,Fechamento
"1,44311","1,44989","3,28308","3,313",2002-01-03 09:34:00.0,Abertura
"1,44171","1,44849","3,30296","3,32139",2002-01-03 10:00:00.0,Intermediário
"1,44131","1,44809","3,30925","3,32771",2002-01-03 10:30:00.0,Intermediário
"1,44231","1,44909","3,3101","3,32856",2002-01-03 11:00:00.0,Intermediário
"1,44151","1,44829","3,30682","3,32527",2002-01-03 11:30:00.0,Intermediário
"1,44231","1,44909","3,30577","3,32421",2002-01-03 12:00:00.0,Intermediário
"1,44421","1,451","3,30869","3,32569",2002-01-03 12:30:00.0,Intermediário
"1,44181","1,44859","3,29454","3,31293",2002-01-03 13:00:00.0,Intermediário
"1,43971","1,44649","3,28974","3,30812",2002-01-03 13:30:00.0,Intermediário
"1,43842","1,44518","3,28679","3,30513",2002-01-03 14:00:00.0,Intermediário
"1,43642","1,44318","3,28222","3,30055",2002-01-03 14:30:00.0,Intermediário
"1,43682","1,44358","3,28601","3,30435",2002-01-03 15:00:00.0,Intermediário
"1,43732","1,44408","3,29146","3,30983",2002-01-03 15:30:00.0,Intermediário
"1,43463","1,44138","3,28961","3,30797",2002-01-03 16:00:00.0,Intermediário
"1,43433","1,44108","3,28748","3,30584",2002-01-03 16:30:00.0,Fechamento Interbancário
"1,43748","1,43992","3,29528","3,30202",2002-01-03 17:38:00.0,Fechamento
"1,43632","1,44308","3,29635","3,3263",2002-01-04 09:38:00.0,Abertura
"1,43512","1,44188","3,29791","3,31777",2002-01-04 10:00:00.0,Intermediário
