paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"131,586","132,214","0,01742","0,01758",2002-01-02 09:59:00.0,Abertura
"131,576","132,204","0,01744","0,01757",2002-01-02 10:00:00.0,Intermediário
"131,596","132,224","0,01743","0,01753",2002-01-02 10:30:00.0,Intermediário
"131,886","132,515","0,01741","0,01752",2002-01-02 11:00:00.0,Intermediário
"131,566","132,194","0,01744","0,01754",2002-01-02 11:30:00.0,Intermediário
"131,776","132,404","0,01742","0,01752",2002-01-02 12:00:00.0,Intermediário
"131,906","132,535","0,01738","0,01748",2002-01-02 12:30:00.0,Intermediário
"131,796","132,424","0,01741","0,0175",2002-01-02 13:00:00.0,Intermediário
"131,636","132,264","0,01743","0,01753",2002-01-02 13:30:00.0,Intermediário
"131,836","132,464","0,0174","0,0175",2002-01-02 14:00:00.0,Intermediário
"131,816","132,444","0,0174","0,0175",2002-01-02 14:30:00.0,Intermediário
"131,716","132,344","0,01743","0,01753",2002-01-02 15:00:00.0,Intermediário
"131,806","132,434","0,01744","0,01755",2002-01-02 15:30:00.0,Intermediário
"131,886","132,515","0,01737","0,01748",2002-01-02 16:00:00.0,Intermediário
"131,926","132,555","0,01735","0,01746",2002-01-02 16:30:00.0,Fechamento Interbancário
"132,164","132,396","0,01742","0,01745",2002-01-02 18:05:00.0,Fechamento
"131,437","132,064","0,01723","0,01739",2002-01-03 09:34:00.0,Abertura
"131,526","132,154","0,01734","0,01743",2002-01-03 10:00:00.0,Intermediário
"131,516","132,144","0,01738","0,01747",2002-01-03 10:30:00.0,Intermediário
"131,397","132,024","0,01738","0,01748",2002-01-03 11:00:00.0,Intermediário
"131,347","131,973","0,01738","0,01748",2002-01-03 11:30:00.0,Intermediário
"131,157","131,783","0,01739","0,01749",2002-01-03 12:00:00.0,Intermediário
"131,347","131,973","0,01736","0,01745",2002-01-03 12:30:00.0,Intermediário
"131,197","131,823","0,01733","0,01743",2002-01-03 13:00:00.0,Intermediário
"131,347","131,973","0,01731","0,01741",2002-01-03 13:30:00.0,Intermediário
"131,417","132,044","0,01731","0,0174",2002-01-03 14:00:00.0,Intermediário
"131,477","132,104","0,0173","0,0174",2002-01-03 14:30:00.0,Intermediário
"131,477","132,104","0,01731","0,01741",2002-01-03 15:00:00.0,Intermediário
"131,437","132,064","0,01734","0,01744",2002-01-03 15:30:00.0,Intermediário
"131,347","131,973","0,01738","0,01747",2002-01-03 16:00:00.0,Intermediário
"131,427","132,054","0,01736","0,01746",2002-01-03 16:30:00.0,Fechamento Interbancário
"131,714","131,946","0,01737","0,01741",2002-01-03 17:38:00.0,Fechamento
"130,608","131,232","0,01749","0,01765",2002-01-04 09:38:00.0,Abertura
"130,518","131,142","0,01752","0,01763",2002-01-04 10:00:00.0,Intermediário
"130,608","131,232","0,01754","0,01764",2002-01-04 10:30:00.0,Intermediário
"130,608","131,232","0,01755","0,01765",2002-01-04 11:00:00.0,Intermediário
"130,558","131,182","0,01763","0,01773",2002-01-04 11:30:00.0,Intermediário
"130,618","131,242","0,01757","0,01767",2002-01-04 12:00:00.0,Intermediário
"130,798","131,422","0,01756","0,01766",2002-01-04 12:30:00.0,Intermediário
"130,828","131,452","0,01759","0,0177",2002-01-04 13:00:00.0,Intermediário
"130,878","131,502","0,01758","0,01768",2002-01-04 13:30:00.0,Intermediário
"130,788","131,412","0,01759","0,01769",2002-01-04 14:00:00.0,Intermediário
"130,838","131,462","0,01759","0,01769",2002-01-04 14:30:00.0,Intermediário
"130,758","131,382","0,01759","0,01769",2002-01-04 15:00:00.0,Intermediário
"130,688","131,312","0,01765","0,01775",2002-01-04 15:30:00.0,Intermediário
"130,618","131,242","0,01776","0,01785",2002-01-04 16:00:00.0,Intermediário
"130,648","131,272","0,01771","0,01783",2002-01-04 16:30:00.0,Fechamento Interbancário
"130,885","131,116","0,01761","0,01765",2002-01-04 18:04:00.0,Fechamento
"130,928","131,553","0,01773","0,0179",2002-01-07 09:39:00.0,Abertura
"131,237","131,863","0,01778","0,01788",2002-01-07 10:00:00.0,Intermediário
"130,688","131,312","0,01793","0,01806",2002-01-07 10:30:00.0,Intermediário
"130,758","131,382","0,0179","0,01801",2002-01-07 11:00:00.0,Intermediário
"130,888","131,513","0,01785","0,01795",2002-01-07 11:30:00.0,Intermediário
"130,928","131,553","0,01777","0,01787",2002-01-07 12:00:00.0,Intermediário
"130,868","131,492","0,01782","0,01791",2002-01-07 12:30:00.0,Intermediário
"130,788","131,412","0,01782","0,01792",2002-01-07 13:00:00.0,Intermediário
"131,067","131,693","0,01778","0,01788",2002-01-07 13:30:00.0,Intermediário
"131,037","131,663","0,01779","0,01789",2002-01-07 14:00:00.0,Intermediário
"130,938","131,563","0,0178","0,0179",2002-01-07 14:30:00.0,Intermediário
"130,648","131,272","0,01789","0,01798",2002-01-07 15:00:00.0,Intermediário
"130,588","131,212","0,0178","0,01791",2002-01-07 15:30:00.0,Intermediário
"130,848","131,472","0,0177","0,01781",2002-01-07 16:00:00.0,Intermediário
"130,828","131,452","0,0177","0,0178",2002-01-07 16:30:00.0,Fechamento Interbancário
"131,064","131,296","0,01784","0,01788",2002-01-07 17:39:00.0,Fechamento
"132,405","133,036","0,01746","0,01762",2002-01-08 09:43:00.0,Abertura
"132,355","132,985","0,01755","0,01765",2002-01-08 10:00:00.0,Intermediário
"132,375","133,005","0,01758","0,01768",2002-01-08 10:30:00.0,Intermediário
"132,335","132,965","0,01755","0,01765",2002-01-08 11:00:00.0,Intermediário
"132,365","132,995","0,0176","0,0177",2002-01-08 11:30:00.0,Intermediário
"132,335","132,965","0,0176","0,01771",2002-01-08 12:00:00.0,Intermediário
"132,225","132,855","0,01769","0,01779",2002-01-08 12:30:00.0,Intermediário
"132,165","132,795","0,01767","0,01778",2002-01-08 13:00:00.0,Intermediário
"132,245","132,875","0,01767","0,01777",2002-01-08 13:30:00.0,Intermediário
"132,235","132,865","0,01767","0,01777",2002-01-08 14:00:00.0,Intermediário
"132,245","132,875","0,01767","0,01777",2002-01-08 14:30:00.0,Intermediário
"132,205","132,835","0,01775","0,01785",2002-01-08 15:00:00.0,Intermediário
"132,165","132,795","0,01783","0,01793",2002-01-08 15:30:00.0,Intermediário
"132,335","132,965","0,01782","0,01792",2002-01-08 16:00:00.0,Intermediário
"132,475","133,106","0,01782","0,01792",2002-01-08 16:30:00.0,Fechamento Interbancário
"132,724","132,956","0,01763","0,01767",2002-01-08 17:30:00.0,Fechamento
"132,115","132,745","0,01797","0,01813",2002-01-09 09:39:00.0,Abertura
"132,005","132,635","0,01802","0,01813",2002-01-09 10:00:00.0,Intermediário
"132,085","132,715","0,01792","0,01803",2002-01-09 10:30:00.0,Intermediário
"132,065","132,695","0,01788","0,018",2002-01-09 11:00:00.0,Intermediário
"132,145","132,775","0,01791","0,01802",2002-01-09 11:30:00.0,Intermediário
"132,165","132,795","0,01794","0,01805",2002-01-09 12:00:00.0,Intermediário
"132,135","132,765","0,01792","0,01802",2002-01-09 12:30:00.0,Intermediário
"132,135","132,765","0,01783","0,01793",2002-01-09 13:00:00.0,Intermediário
"132,165","132,795","0,01783","0,01793",2002-01-09 13:30:00.0,Intermediário
"132,275","132,905","0,01781","0,01791",2002-01-09 14:00:00.0,Intermediário
"132,255","132,885","0,01781","0,01791",2002-01-09 14:30:00.0,Intermediário
"132,285","132,915","0,01791","0,01801",2002-01-09 15:00:00.0,Intermediário
"132,145","132,775","0,01787","0,01797",2002-01-09 15:30:00.0,Intermediário
"132,245","132,875","0,01785","0,01796",2002-01-09 16:00:00.0,Intermediário
"132,255","132,885","0,01785","0,01796",2002-01-09 16:30:00.0,Fechamento Interbancário
"132,604","132,836","0,01791","0,01794",2002-01-09 18:04:00.0,Fechamento
"132,355","132,985","0,0179","0,01806",2002-01-10 09:36:00.0,Abertura
"132,165","132,795","0,01798","0,01808",2002-01-10 10:00:00.0,Intermediário
"132,105","132,735","0,01798","0,01808",2002-01-10 10:30:00.0,Intermediário
"132,135","132,765","0,01796","0,01807",2002-01-10 11:00:00.0,Intermediário
"132,085","132,715","0,01798","0,01808",2002-01-10 11:30:00.0,Intermediário
"132,145","132,775","0,01799","0,01809",2002-01-10 12:00:00.0,Intermediário
"132,215","132,845","0,01798","0,01808",2002-01-10 12:30:00.0,Intermediário
"132,225","132,855","0,01795","0,01806",2002-01-10 13:00:00.0,Intermediário
"132,185","132,815","0,01796","0,01807",2002-01-10 13:30:00.0,Intermediário
"132,325","132,955","0,01794","0,01805",2002-01-10 14:00:00.0,Intermediário
"132,315","132,945","0,01794","0,01805",2002-01-10 14:30:00.0,Intermediário
"132,325","132,955","0,01798","0,01808",2002-01-10 15:00:00.0,Intermediário
"132,385","133,016","0,01811","0,01822",2002-01-10 15:30:00.0,Intermediário
"132,534","133,166","0,01818","0,01828",2002-01-10 16:00:00.0,Intermediário
"132,175","132,805","0,01822","0,01832",2002-01-10 16:30:00.0,Fechamento Interbancário
"132,634","132,866","0,01798","0,01802",2002-01-10 18:08:00.0,Fechamento
"131,886","132,515","0,01838","0,01854",2002-01-11 09:35:00.0,Abertura
"131,746","132,374","0,01842","0,01855",2002-01-11 10:00:00.0,Intermediário
"131,746","132,374","0,01836","0,01846",2002-01-11 10:30:00.0,Intermediário
"131,816","132,444","0,01831","0,01844",2002-01-11 11:00:00.0,Intermediário
"131,836","132,464","0,01825","0,01838",2002-01-11 11:30:00.0,Intermediário
"131,746","132,374","0,01823","0,01835",2002-01-11 12:00:00.0,Intermediário
"131,516","132,144","0,01828","0,01839",2002-01-11 12:30:00.0,Intermediário
"131,437","132,064","0,01823","0,01835",2002-01-11 13:00:00.0,Intermediário
"131,487","132,114","0,01823","0,01835",2002-01-11 13:30:00.0,Intermediário
"131,716","132,344","0,0182","0,01832",2002-01-11 14:00:00.0,Intermediário
"131,716","132,344","0,0182","0,01832",2002-01-11 14:30:00.0,Intermediário
"131,876","132,504","0,01817","0,01828",2002-01-11 15:00:00.0,Intermediário
"131,886","132,515","0,01815","0,01825",2002-01-11 15:30:00.0,Intermediário
"131,946","132,575","0,0181","0,01821",2002-01-11 16:00:00.0,Intermediário
"131,886","132,515","0,01811","0,01822",2002-01-11 16:30:00.0,Fechamento Interbancário
"131,924","132,156","0,01828","0,01832",2002-01-11 18:06:00.0,Fechamento
"131,407","132,034","0,01822","0,01838",2002-01-14 09:44:00.0,Abertura
"131,417","132,044","0,01821","0,01831",2002-01-14 10:00:00.0,Intermediário
"131,496","132,124","0,01828","0,01838",2002-01-14 10:30:00.0,Intermediário
"131,536","132,164","0,01821","0,01831",2002-01-14 11:00:00.0,Intermediário
"131,556","132,184","0,01822","0,01832",2002-01-14 11:30:00.0,Intermediário
"131,457","132,084","0,0182","0,0183",2002-01-14 12:00:00.0,Intermediário
"131,437","132,064","0,01823","0,01832",2002-01-14 12:30:00.0,Intermediário
"131,377","132,003","0,01823","0,01834",2002-01-14 13:00:00.0,Intermediário
"131,357","131,983","0,01824","0,01834",2002-01-14 13:30:00.0,Intermediário
"131,367","131,993","0,01824","0,01834",2002-01-14 14:00:00.0,Intermediário
"131,477","132,104","0,01822","0,01832",2002-01-14 14:30:00.0,Intermediário
"131,546","132,174","0,01816","0,01826",2002-01-14 15:00:00.0,Intermediário
"131,736","132,364","0,01808","0,01818",2002-01-14 15:30:00.0,Intermediário
"131,686","132,314","0,0181","0,01822",2002-01-14 16:00:00.0,Intermediário
"131,696","132,324","0,01808","0,01819",2002-01-14 16:30:00.0,Fechamento Interbancário
"131,944","132,176","0,01821","0,01824",2002-01-14 17:49:00.0,Fechamento
"130,828","131,452","0,01814","0,01831",2002-01-15 09:38:00.0,Abertura
"130,688","131,312","0,01813","0,01825",2002-01-15 10:00:00.0,Intermediário
